Hole Depth: ft,Flow In: gal/min,GCT IN Mud Temp: F,GCT OUT Mud Temp: F,Mud Density In: lb/ft3,Mud Density Out: lb/ft3,ROP Average: ft/hr,RPM:,Torque LAS:,WOB: Klb,Standpipe Pressure: psi,QC Delta Carbon Dioxide: ppm
7047,1090.4037129594,173.84,161.42,-999.25,74.0000000078,35.0646,218.1879065619,-999.25,43.079,3153.43,458.823
7048,1090.1264564146,173.84,161.6,-999.25,74.0000000078,40.6992,218.3215020967,-999.25,39.1333,3149.965,459.12041
7049,1090.4037129594,173.84,161.96,-999.25,74.0000000078,42.5306,218.1374386826,-999.25,41.521,3146.57,488.564
7050,1091.7761711591,173.84,161.78,-999.25,74.0000000078,39.1696,219.0762930584,-999.25,45.2743,3150.15,489.11681
7051,1091.7118291335,173.84,161.78,-999.25,74.0000000078,40.4734,218.992066602,-999.25,38.3264,3155.05,507.7773400001
7052,1092.9103299076,173.84,161.78,-999.25,74.0000000078,41.6903,214.7601497716,-999.25,39.6291,3157.5425,546.308
7053,1092.5887699413,173.84,161.96,-999.25,74.0000000078,48.6403,213.9352943501,-999.25,40.5604,3161.788,546.8176300001
7054,1088.6486687908,173.84,161.96,-999.25,74.0000000078,47.5903,216.7441526806,-999.25,43.4626,3165.588,597.52899
7055,1090.8669218865,173.84,161.96,-999.25,74.0000000078,38.8086,216.8866441014,-999.25,32.4898,3169.426,624.25752
7056,1099.2184573322,173.84,161.96,-999.25,74.0000000078,43.6525,208.8584480082,-999.25,15.7299,3173.188,682.446
7057,1094.2010293927,173.84,161.96,-999.25,74.0000000078,44.6992,208.2189,-999.25,17.3749,3177.064,682.446
7058,1088.2159670667,173.84,162.14,-999.25,74.0000000078,38.4581,198.3165162172,-999.25,25.5742,3180.788,682.69178
7059,1101.4765111722,173.84,162.32,-999.25,74.0000000078,31.1884,219.7558708968,-999.25,19.4428,3184.626,704.85758
7060,1097.0019903125,173.84,162.5,-999.25,74.0000000078,23.772,219.2135121174,-999.25,37.8781,3188.464,598.703
7061,1098.8447531613,173.84,162.5,-999.25,74.0000000078,24.0998,219.5585944509,-999.25,27.63,3192.188,596.0335700002
7062,1095.9520353008,173.84,162.86,-999.25,74.0000000078,18.1755,198.1113088271,-999.25,43.2219,3195.988,331.76
7063,1101.0705113262,173.84,163.22,-999.25,74.0000000078,21.7438,177.8894422159,-999.25,18.7126,3199.788,329.66573
7064,1093.5181800304,173.84,163.58,-999.25,74.0000000078,27.154,158.922273218,-999.25,24.0962,3203.588,122.333
7065,1088.2159617272,173.84,163.76,-999.25,74.0000000078,35.106,167.2787697418,-999.25,41.368,3207.426,121.77932
7066,1089.964118335,173.84,163.94,-999.25,74.0000000078,17.1952,165.4916668191,-999.25,33.1202,3211.226,94.4001
